Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Atlantic Division
Toronto Raptors* (3),48,34,.585,—,101.3,98.0,2.55
Brooklyn Nets* (5),44,38,.537,4.0,98.5,99.5,-1.58
New York Knicks (9),37,45,.451,11.0,98.6,99.4,-1.40
Boston Celtics (12),25,57,.305,23.0,96.2,100.7,-4.97
Philadelphia 76ers (14),19,63,.232,29.0,99.5,109.9,-10.66
Central Division
Indiana Pacers* (1),56,26,.683,—,96.7,92.3,3.63
Chicago Bulls* (3),48,34,.585,8.0,93.7,91.8,1.20
Cleveland Cavaliers (10),33,49,.402,23.0,98.2,101.5,-3.86
Detroit Pistons (11),29,53,.354,27.0,101.0,104.7,-4.13
Milwaukee Bucks (15),15,67,.183,41.0,95.5,103.7,-8.41
Southeast Division
Miami Heat* (2),54,28,.659,—,102.2,97.4,4.15
Washington Wizards* (5),44,38,.537,10.0,100.7,99.4,0.48
Charlotte Bobcats* (7),43,39,.524,11.0,96.9,97.1,-0.89
Atlanta Hawks* (8),38,44,.463,16.0,101.0,101.5,-0.88
Orlando Magic (13),23,59,.280,31.0,96.5,102.0,-5.88
