Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS
Northwest Division
Utah Jazz* (5),51,31,.622,—,100.7,96.8,4.00
Oklahoma City Thunder* (6),47,35,.573,4.0,106.6,105.8,1.14
Portland Trail Blazers* (8),41,41,.500,10.0,107.9,108.5,-0.23
Denver Nuggets (9),40,42,.488,11.0,111.7,111.2,0.70
Minnesota Timberwolves (13),31,51,.378,20.0,105.6,106.7,-0.64
Pacific Division
Golden State Warriors* (1),67,15,.817,—,115.9,104.3,11.35
Los Angeles Clippers* (4),51,31,.622,16.0,108.7,104.4,4.42
Sacramento Kings (12),32,50,.390,35.0,102.8,106.7,-3.29
Los Angeles Lakers (14),26,56,.317,41.0,104.6,111.5,-6.29
Phoenix Suns (15),24,58,.293,43.0,107.7,113.3,-5.14
Southwest Division
San Antonio Spurs* (2),61,21,.744,—,105.3,98.1,7.13
Houston Rockets* (3),55,27,.671,6.0,115.3,109.6,5.84
Memphis Grizzlies* (7),43,39,.524,18.0,100.5,100.0,0.96
New Orleans Pelicans (10),34,48,.415,27.0,104.3,106.4,-1.69
Dallas Mavericks (11),33,49,.402,28.0,97.9,100.8,-2.53
